username,survey_id,cohort,cohort_code,variant,graph,ai_error_exposed,step,task_order,video_id,delegation_raw,delegation_label,post_trust_raw,post_trust_reported,post_trust_within,mean_post_trust
anon_0136cc3f88ef9a99,66,early,0,D,0,0,2,1,Sequence_T1_5310,1,verify,2,3,-0.2857142857142856,2.2857142857142856
anon_0136cc3f88ef9a99,66,early,0,D,0,0,3,2,Sequence_T2_1728,1,verify,2,3,-0.2857142857142856,2.2857142857142856
anon_0136cc3f88ef9a99,66,early,0,D,0,0,4,3,Sequence_T1_4301,1,verify,3,4,0.7142857142857144,2.2857142857142856
anon_0136cc3f88ef9a99,66,early,0,D,0,0,5,4,Sequence_T3_572,1,verify,3,4,0.7142857142857144,2.2857142857142856
anon_0136cc3f88ef9a99,66,early,0,D,0,0,6,5,Sequence_T3_6325,1,verify,2,3,-0.2857142857142856,2.2857142857142856
anon_0136cc3f88ef9a99,66,early,0,D,0,0,7,6,Sequence_T1_1303,1,verify,2,3,-0.2857142857142856,2.2857142857142856
anon_0136cc3f88ef9a99,66,early,0,D,0,0,8,7,Sequence_T1_6484,1,verify,2,3,-0.2857142857142856,2.2857142857142856
anon_08c3d35c155bb730,62,early,0,D,0,0,2,1,Sequence_T1_5310,1,verify,3,4,0.4285714285714284,2.5714285714285716
anon_08c3d35c155bb730,62,early,0,D,0,0,3,2,Sequence_T2_1728,1,verify,3,4,0.4285714285714284,2.5714285714285716
anon_08c3d35c155bb730,62,early,0,D,0,0,4,3,Sequence_T1_4301,1,verify,3,4,0.4285714285714284,2.5714285714285716
anon_08c3d35c155bb730,62,early,0,D,0,0,5,4,Sequence_T3_572,1,verify,2,3,-0.5714285714285716,2.5714285714285716
anon_08c3d35c155bb730,62,early,0,D,0,0,6,5,Sequence_T3_6325,1,verify,2,3,-0.5714285714285716,2.5714285714285716
anon_08c3d35c155bb730,62,early,0,D,0,0,7,6,Sequence_T1_1303,1,verify,2,3,-0.5714285714285716,2.5714285714285716
anon_08c3d35c155bb730,62,early,0,D,0,0,8,7,Sequence_T1_6484,1,verify,3,4,0.4285714285714284,2.5714285714285716
anon_09105159d8ec2132,60,early,0,B,0,0,2,1,Sequence_T1_5310,1,verify,4,5,0.0,4.0
anon_09105159d8ec2132,60,early,0,B,0,0,3,2,Sequence_T2_1728,1,verify,4,5,0.0,4.0
anon_09105159d8ec2132,60,early,0,B,0,0,4,3,Sequence_T1_4301,1,verify,4,5,0.0,4.0
anon_09105159d8ec2132,60,early,0,B,0,0,5,4,Sequence_T3_572,1,verify,4,5,0.0,4.0
anon_09105159d8ec2132,60,early,0,B,0,0,6,5,Sequence_T3_6325,1,verify,4,5,0.0,4.0
